recipe,default_portion,default_portion_in_grams,Calcium_(MG)_per_100G,Carbohydrates_(G)_per_100G,Iron_(MG)_per_100G,Lipid_(G)_per_100G,Magnesium_(MG)_per_100G,Protein_(G)_per_100G,Sodium_(MG)_per_100G,Vitamin_A_(UG)_per_100G,Vitamin_C_(MG)_per_100G,Vitamin_D_(UG)_per_100G,Carbohydrates_(G)_total,Protein_(G)_total,Lipid_(G)_total,Calcium_(MG)_total,Iron_(MG)_total,Magnesium_(MG)_total,Sodium_(MG)_total,Vitamin_C_(MG)_total,Vitamin_D_(UG)_total,Vitamin_A_(UG)_total
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",1 salad,346.0,43.0,8.11,0.82,5.26,38.0,10.24,167.0,127.0,10.5,0.0,28.0606,35.4304,18.1996,148.78,2.8371999999999997,131.48,577.82,36.33,0.0,439.42
"Asian chicken or turkey garden salad, chicken and/or turkey, lettuce, fruit, nuts, no dressing",Quantity not specified,315.0,39.0,9.5,0.96,5.46,35.0,11.44,176.0,108.0,10.0,0.0,29.925,36.036,17.199,122.85,3.0239999999999996,110.25,554.4,31.5,0.0,340.2
"Asian stir fry vegetables, cooked, fat added",1 cup,132.0,35.0,9.65,1.01,2.84,17.0,2.01,146.0,231.0,35.3,0.0,12.738,2.6532,3.7488,46.2,1.3332,22.44,192.72,46.596,0.0,304.92
"Asian stir fry vegetables, cooked, no added fat",1 cup,127.0,36.0,9.93,1.04,0.3,18.0,2.07,141.0,226.0,36.3,0.0,12.611099999999999,2.6289,0.381,45.72,1.3208000000000002,22.86,179.07,46.10099999999999,0.0,287.02
"Asparagus, NS as to form, cooked",Quantity not specified,93.0,25.0,4.04,2.23,2.86,15.0,2.3,132.0,50.0,5.0,0.0,3.7572,2.139,2.6597999999999997,23.25,2.0739,13.95,122.76,4.65,0.0,46.5
"Asparagus, canned, cooked with butter or margarine",1 cup,245.0,16.0,2.4,1.78,2.82,10.0,2.09,296.0,63.0,16.1,0.1,5.88,5.1205,6.909,39.2,4.361000000000001,24.5,725.2,39.44500000000001,0.245,154.35
"Asparagus, canned, cooked with oil",1 cup,245.0,16.0,2.39,1.78,3.54,10.0,2.08,279.0,40.0,16.1,0.0,5.855500000000001,5.096,8.673,39.2,4.361000000000001,24.5,683.55,39.44500000000001,0.0,98.0
"Asparagus, canned, cooked, fat added, NS as to fat type",Quantity not specified,123.0,16.0,2.39,1.78,3.18,10.0,2.09,287.0,51.0,16.1,0.0,2.9397,2.5707,3.9114000000000004,19.68,2.1894,12.3,353.01,19.803,0.0,62.73
"Asparagus, canned, cooked, no added fat",Quantity not specified,120.0,16.0,2.46,1.83,0.65,10.0,2.14,287.0,41.0,16.6,0.0,2.952,2.568,0.78,19.2,2.196,12.0,344.4,19.92,0.0,49.2
"Asparagus, fresh, cooked with butter or margarine",1 spear,16.0,26.0,4.05,2.23,2.48,15.0,2.31,141.0,62.0,5.0,0.1,0.648,0.3696,0.3968,4.16,0.3568,2.4,22.56,0.8,0.016,9.92
"Asparagus, fresh, cooked with oil",1 piece,4.0,25.0,4.04,2.23,3.25,15.0,2.29,123.0,38.0,5.0,0.0,0.1616,0.0916,0.13,1.0,0.0892,0.6,4.92,0.2,0.0,1.52
"Asparagus, fresh, cooked, fat added, NS as to fat type",1 cup,185.0,25.0,4.04,2.23,2.86,15.0,2.3,132.0,50.0,5.0,0.0,7.474,4.254999999999999,5.291,46.25,4.1255,27.75,244.2,9.25,0.0,92.5
"Asparagus, fresh, cooked, no added fat",1 piece,4.0,26.0,4.16,2.29,0.13,15.0,2.36,127.0,39.0,5.1,0.0,0.1664,0.0944,0.0052,1.04,0.0916,0.6,5.08,0.204,0.0,1.56
